biolearn,pyaging,n,pearson_r,mean_abs_diff,max_abs_diff,bl_mean,py_mean
Horvathv1,horvath2013,95,1.0,0.0102,0.0104,31.944,31.934
Hannum,hannum,95,1.0,0.0,0.0,31.913,31.913
PhenoAge,dnamphenoage,95,1.0,0.0,0.0,26.748,26.748
Horvathv2,skinandblood,95,1.0,0.0,0.0,29.023,29.023
Lin,lin,95,1.0,0.0,0.0,25.817,25.817
VidalBralo,vidalbralo,95,1.0,0.0,0.0,50.422,50.422
Weidner,weidner,95,1.0,0.0,0.0,21.628,21.628
Garagnani,garagnani,95,1.0,0.0,0.0,0.464,0.464
Bocklandt,bocklandt,95,1.0,0.0,0.0,0.509,0.509
AltumAge,altumage,95,1.0,0.0,0.0,30.42,30.42
HRSInCHPhenoAge,hrsinchphenoage,95,1.0,0.0,0.0,25.398,25.398
YingCausAge,yingcausage,95,1.0,0.0,0.0,24.93,24.93
YingDamAge,yingdamage,95,1.0,0.0,0.0,38.911,38.911
YingAdaptAge,yingadaptage,95,1.0,0.0,0.0,19.238,19.238
DunedinPACE,dunedinpace,95,1.0,0.0,0.0,0.987,0.987
DunedinPoAm38,dunedinpoam38,95,1.0,0.0,0.0,1.021,1.021
EpiTOC1,epitoc1,95,1.0,0.0,0.0,0.057,0.057
EpiTOC2,epitoc2,95,1.0,0.0,0.0001,1229.172,1229.172
DNAmTL,dnamtl,95,1.0,0.0,0.0,7.504,7.504
StocH,stoch,95,1.0,0.0,0.0,38.703,38.703
StocP,stocp,95,1.0,0.0,0.0,33.659,33.659
StocZ,stocz,95,1.0,0.0,0.0,16.115,16.115
