clock,n_pairs,icc_clock,icc_accel,median_dev,max_dev,sd_accel
EpiTOC1,36,0.9937,0.9942,0.0018,0.0078,0.0253
MiAge,36,0.9904,0.9925,21.8552,122.1136,309.8288
EpiTOC2,36,0.991,0.9914,113.9081,523.6598,1407.7008
GrimAgeV2,36,0.9898,0.9689,0.7331,2.5271,4.6298
DunedinPACE,36,0.9634,0.9663,0.0271,0.0562,0.1019
GrimAgeV1,36,0.9889,0.9606,0.9292,2.4109,4.39
Zhang_10,36,0.9616,0.9606,0.0732,0.3197,0.3643
DNAmTL,36,0.9739,0.9485,0.0386,0.1105,0.1705
Bocklandt,36,0.9439,0.9255,0.0086,0.0449,0.0375
HRSInCHPhenoAge,36,0.9838,0.9175,0.9458,3.8328,3.7077
Horvathv2,36,0.9791,0.9019,1.1815,4.5094,3.8001
DunedinPoAm38,36,0.8884,0.8931,0.0273,0.0938,0.0763
YingAdaptAge,36,0.9378,0.8628,1.9148,6.5455,5.0007
Hannum,36,0.9784,0.8594,0.8703,4.5617,3.3443
StocH,36,0.9129,0.8581,2.149,6.1193,5.0079
YingDamAge,36,0.9594,0.8504,1.4769,4.7351,3.7991
AltumAge,36,0.9609,0.8461,1.5493,3.7833,3.1422
VidalBralo,36,0.9336,0.8427,0.8894,3.5684,2.3783
Weidner,36,0.8444,0.8414,2.4022,11.4068,6.8507
Horvathv1,36,0.9445,0.8197,2.0761,5.4518,4.4295
Lin,36,0.9265,0.8158,2.273,9.3926,6.33
Garagnani,36,0.9532,0.7988,0.0121,0.0399,0.0244
PhenoAge,36,0.9168,0.7584,2.4289,8.5816,5.545
StocP,36,0.9156,0.7513,1.0351,5.6935,2.4517
StocZ,36,0.9086,0.7457,1.8125,26.9599,6.8948
YingCausAge,36,0.958,0.7141,1.5672,5.9442,2.7439
